crime_type,borough,n_blocks,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Murder,Manhattan,8082,350,0.043306112348428606,0.015837663944568176,0.020728737388100917,-0.004891073443532741,0.9670392759925054,0.9585036256570693,0.008535650335436129
Murder,Queens,33339,307,0.009208434566123759,0.0039293320135576956,0.004561949489051802,-6.326174754941061e-4,0.9920863290374187,0.990875714180315,0.00121061485710372
Murder,Staten Island,14381,54,0.003754954453793199,0.0017384048397190738,0.0018704362010889567,-1.3203136136988292e-4,0.9965128886622524,0.9962591012251532,2.53787437099251e-4
Murder,Bronx,12659,605,0.04779208468283435,0.01690496879690339,0.022771978864603734,-0.005867010067700344,0.9645489211934931,0.954403989229964,0.010144931963529169
Murder,Brooklyn,20795,595,0.028612647270978602,0.011108439528732868,0.013900858193266875,-0.0027924186645340073,0.9772155152034365,0.9721869000893387,0.005028615114097801
Robbery,Manhattan,8082,18701,2.313907448651324,0.08042563721851027,0.27471939037668597,-0.1942937531581757,0.7468902481715775,0.3603950220496095,0.38649522612196796
Robbery,Queens,33339,15677,0.47023006088964875,0.034764090104682205,0.1400264733115527,-0.10526238320687051,0.8849662872486774,0.6863349424334397,0.1986313448152377
Robbery,Staten Island,14381,1408,0.09790696057297824,0.012516514845977331,0.04431325794082477,-0.03179674309484744,0.9617771199056836,0.910947323917221,0.0508297959884626
Robbery,Bronx,12659,23724,1.8740816810174579,0.06738288964373174,0.2525304362163404,-0.18514754657260868,0.7861918034701114,0.3975151143652508,0.38867668910486064
Robbery,Brooklyn,20795,20293,0.9758595816301996,0.06482327482567925,0.1952815855065565,-0.13045831068087727,0.798686883229455,0.5290464069161473,0.2696404763133077
Robbery (outdoor),Manhattan,8082,9626,1.1910418213313536,0.08958178668646374,0.2173535841535303,-0.12777179746706654,0.7426959834560908,0.48666684868400556,0.2560291347720852
Robbery (outdoor),Queens,33339,9996,0.2998290290650589,0.03665376885929392,0.10914059557387312,-0.0724868267145792,0.8935401750009822,0.7715897539583736,0.12195042104260856
Robbery (outdoor),Staten Island,14381,792,0.055072665322300256,0.012655587233154858,0.026047293534916315,-0.013391706301761458,0.969078519005506,0.9478263308536676,0.02125218815183838
Robbery (outdoor),Bronx,12659,14438,1.140532427521921,0.07480843668536219,0.21293320311051323,-0.13812476642515104,0.7821917482786979,0.4957560907014553,0.28643565757724254
Robbery (outdoor),Brooklyn,20795,11432,0.5497475354652561,0.07376773262803558,0.14803074413297762,-0.07426301150494204,0.8018312659604379,0.6537394149596623,0.1480918510007756
Felony assault,Manhattan,8082,26248,3.2477109626330116,0.06533036377134373,0.30256281995455114,-0.23723245618320743,0.7752711350685344,0.306847038626772,0.4684240964417624
Felony assault,Queens,33339,27837,0.8349680554305768,0.044182488976873935,0.1762281921296875,-0.13204570315281355,0.8508326103152829,0.5629697829813824,0.28786282733390045
Felony assault,Staten Island,14381,4347,0.30227383353035253,0.020652249495862595,0.1097274461806953,-0.0890751966848327,0.9292363894178487,0.770189236126169,0.15904715329167973
Felony assault,Bronx,12659,39401,3.112489138162572,0.0659609763804408,0.29894691910618687,-0.23298594272574608,0.7922856803702031,0.3131553381246961,0.479130342245507
Felony assault,Brooklyn,20795,38337,1.843568165424381,0.060495311372926186,0.25034544616767923,-0.18985013479475304,0.7943087279969117,0.40052794838851735,0.3937807796083943
Felony assault (outdoor),Manhattan,8082,11560,1.4303390249938135,0.06978470675575353,0.23209900729321076,-0.1623143005374572,0.7802127244189959,0.449251998157177,0.33096072626181894
Felony assault (outdoor),Queens,33339,10666,0.31992561264585023,0.03251447253966826,0.1138341382886828,-0.08131966574901454,0.8998379594801342,0.7602479722500708,0.13958998723006344
Felony assault (outdoor),Staten Island,14381,1579,0.1097976496766567,0.013837702524163827,0.049085749196710084,-0.03524804667254626,0.9599874473738945,0.9012343169413689,0.05875313043252561
Felony assault (outdoor),Bronx,12659,14933,1.179635042262422,0.06414408721068014,0.21639579629365363,-0.15225170908297347,0.8108445651339075,0.4886783876267603,0.32216617750714716
Felony assault (outdoor),Brooklyn,20795,15002,0.7214234190911277,0.06039913440730945,0.15825675267971398,-0.09785761827240452,0.8218954151468592,0.5949781582637366,0.2269172568831226
Street assault,Manhattan,8082,30761,3.8061123484286066,0.08698341994555803,0.31220933784292937,-0.22522591789737134,0.7235115890283625,0.2843135083787097,0.4391980806496528
Street assault,Queens,33339,29736,0.8919283721767299,0.04028315186418309,0.18436834721400103,-0.14408519534981795,0.8568441670000846,0.5485604135251716,0.308283753474913
Street assault,Staten Island,14381,4841,0.33662471316320147,0.021278075238161463,0.11751083264556458,-0.09623275740740311,0.9258943117942879,0.7511116752429923,0.17478263655129567
Street assault,Bronx,12659,31410,2.481238644442689,0.0738604945098349,0.27864573183390806,-0.20478523732407317,0.7764351765818949,0.3487501334905527,0.42768504309134214
Street assault,Brooklyn,20795,36040,1.733108920413561,0.07900937725414763,0.24173972571830482,-0.16273034846415718,0.7582551913278479,0.41202297615815353,0.3462322151696944
Burglary,Manhattan,8082,18734,2.317990596387033,0.09057164068299926,0.27484435358720194,-0.18427271290420266,0.7305014310058318,0.3600969931884832,0.37040443781734855
Burglary,Queens,33339,15290,0.4586220342541768,0.06310927142385794,0.13853485051378575,-0.07542557908992781,0.8301161830611752,0.6914328869629784,0.13868329609819674
Burglary,Staten Island,14381,1628,0.11320492316250609,0.02385091440094569,0.05042988680861549,-0.026578972407669797,0.9395702287364898,0.8984911258296838,0.04107910290680594
Burglary,Bronx,12659,13731,1.0846828343471049,0.06793585591278932,0.2075040518492579,-0.13956819593646858,0.7988996295142681,0.5063827513312349,0.2925168781830332
Burglary,Brooklyn,20795,18795,0.9038230343832652,0.08314498677566723,0.18599351088430166,-0.10284852410863443,0.7655498458744296,0.545675486187075,0.2198743596873547
Residential burglary,Manhattan,8082,7216,0.892848304875031,0.06297946052957189,0.18449496046963348,-0.1215154999400616,0.8220041964541938,0.5483358163765786,0.2736683800776152
Residential burglary,Queens,33339,8831,0.2648849695551756,0.04826179549476589,0.10026330812882842,-0.052001512634062524,0.872800211892865,0.7922628989811408,0.08053731291172428
Residential burglary,Staten Island,14381,852,0.059244836937626034,0.01884430846255476,0.027901593559494786,-0.009057285096940027,0.9593933114016832,0.9440987638322036,0.015294547569479566
Residential burglary,Bronx,12659,6916,0.5463306738288964,0.050635911209416226,0.14776394689847921,-0.09712803568906299,0.857630557583992,0.6550615369906343,0.20256902059335768
Residential burglary,Brooklyn,20795,10097,0.4855494109160856,0.05910074537148353,0.141866275630769,-0.08276553025928549,0.8356918177401257,0.6797455284873299,0.15594628925279574
Commercial burglary,Manhattan,8082,9983,1.2352140559267508,0.04961643157634249,0.22084082362983531,-0.17122439205349282,0.8331719106841938,0.4790926714389283,0.3540792392452655
Commercial burglary,Queens,33339,4187,0.125588649929512,0.012387894058010138,0.05522810132370132,-0.04284020726569118,0.9626082935377939,0.8886680138018419,0.07394027973595196
Commercial burglary,Staten Island,14381,516,0.03588067589180168,0.005215214519157222,0.01730425686055958,-0.012089042341402357,0.9860323887730851,0.9653691987611456,0.020663190011939503
Commercial burglary,Bronx,12659,4087,0.32285330594833717,0.024883482107591438,0.11449328220989094,-0.0896098001022995,0.9213225196590632,0.7586276163380669,0.16269490332099634
Commercial burglary,Brooklyn,20795,5914,0.2843952873286848,0.03044000961769656,0.10533321194264451,-0.07489320232494795,0.9105757827408858,0.7805673849773542,0.13000839776353157
Grand larceny,Manhattan,8082,83882,10.378866617173967,0.08995298193516456,0.3807593005378763,-0.2908063186027118,0.6914914194549618,0.17406137572998737,0.5174300437249745
Grand larceny,Queens,33339,48378,1.4510933141365967,0.05867002609556375,0.2329069851637771,-0.17423695906821335,0.7854308485776443,0.446383204668202,0.3390476439094423
Grand larceny,Staten Island,14381,6996,0.4864752103469856,0.05215214519157221,0.14197281131267062,-0.0898206661210984,0.8434660568155627,0.6793522571732094,0.1641137996423534
Grand larceny,Bronx,12659,40666,3.2124180424994075,0.08879058377438977,0.30171725201732097,-0.21292666824293122,0.7209060112085044,0.3084568328272248,0.4124491783812796
Grand larceny,Brooklyn,20795,57424,2.761433036787689,0.09641740803077663,0.2847882092002163,-0.18837080116943966,0.6942378719111206,0.33153055037750767,0.36270732153361296
GLA,Manhattan,8082,8103,1.0025983667409057,0.09688195991091314,0.19848651132715622,-0.10160455141624308,0.7369120501042276,0.5232190859131929,0.21369296419103467
GLA,Queens,33339,19726,0.5916794144995351,0.08647529919913614,0.150763172011124,-0.06428787281198785,0.7729965131315489,0.6380419406269162,0.13495457250463272
GLA,Staten Island,14381,1825,0.12690355329949238,0.03796676169946457,0.05572960279993987,-0.017762841100475296,0.9162927873821338,0.8876383526347505,0.028654434747383273
GLA,Bronx,12659,20564,1.6244569081286042,0.11114622008057508,0.23684297783069871,-0.12569675775012362,0.6918905277064036,0.42432700601960993,0.26756352168679365
GLA,Brooklyn,20795,17299,0.8318826641019476,0.10690069728300072,0.17577042800745787,-0.06886973072445715,0.7139657151828883,0.5637796144089442,0.15018610077394412
Retail theft,Manhattan,8082,124858,15.448898787428854,0.006310319227913883,0.40097676395811904,-0.3946664447302052,0.9658469115693948,0.14295680257246446,0.8228901089969304
Retail theft,Queens,33339,56937,1.7078196706559885,8.99847026005579e-4,0.23961702671052165,-0.23871717968451608,0.9939648286030902,0.4147934887036161,0.5791713398994741
Retail theft,Staten Island,14381,8865,0.6164383561643836,6.953619358876295e-4,0.15191700178357137,-0.15122163984768375,0.9967307478184245,0.629210190891119,0.36752055692730556
Retail theft,Bronx,12659,32211,2.5445137846591357,0.0017378939884667036,0.2795004345929028,-0.2777625406044361,0.987711578658307,0.34462945110600396,0.6430821275523031
Retail theft,Brooklyn,20795,57641,2.771868237557105,0.001586919932676124,0.2853082674668966,-0.28372134753422046,0.9852281376198923,0.3309372238685314,0.6542909137513608
