crime_type,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Murder,277,0.0031021816064149086,0.0014334990816646507,0.0015462840096480744,-1.1278492798342372e-4,0.9971369235822405,0.996907417099949,2.2950648229147497e-4
Robbery,15024,0.1682569547103884,0.027012498320118265,0.07073487770475521,-0.04372237938463695,0.9251654996587282,0.8565081162681362,0.06865738339059202
Robbery (outdoor),8720,0.09765712493840434,0.02585897952784124,0.04421161317774292,-0.01835263364990168,0.9402801143716913,0.9111537652000401,0.029126349171651245
Felony assault,29474,0.33008556197643685,0.030697038928459437,0.1160949954839032,-0.08539795655544377,0.907465081493616,0.7546588852275664,0.15280619626604963
Felony assault (outdoor),11006,0.12325852260000895,0.021793665725932894,0.0543356487334496,-0.032541983007516706,0.9414479902061379,0.8904989133746335,0.0509490768315044
Street assault,27256,0.3052457107019666,0.034068001612686465,0.11043486710951828,-0.0763668654968318,0.9012335351374063,0.7684946114506986,0.1327389236867077
Burglary,12688,0.14209559647000852,0.0235631411548627,0.061413882844173734,-0.03785074168931103,0.9325756657147478,0.8759236211616483,0.05665204455309947
Residential burglary,6616,0.07409398378354164,0.020180979259060164,0.034368590245069656,-0.014187610986009493,0.953989992671626,0.931073788638189,0.02291620403343697
Commercial burglary,4298,0.04813421135152085,0.005386820767817946,0.02292702003661248,-0.017540199268794535,0.9824079772406172,0.9540927988797495,0.02831517836086772
Grand larceny,45507,0.5096425211665099,0.04164986784930341,0.14446845777187667,-0.10281858992257326,0.8653239706556254,0.6696896402236294,0.19563433043199596
GLA,13366,0.14968866191820096,0.042041840254446086,0.06417967972632785,-0.022137839471881762,0.9050042186322317,0.8701915024602641,0.03481271617196757
Retail theft,52223,0.584856426107602,0.0012767101196075796,0.1503859335347518,-0.1491092234151442,0.9923516813480153,0.6405314268847075,0.3518202544633078
Vehicle accessory theft,9234,0.10341351968821395,0.025982170855171797,0.04653923681861637,-0.02055706596344457,0.9386263776230933,0.9064220086147214,0.03220436900837187
Theft from auto,15897,0.17803386641580432,0.045580791112305695,0.07406898706349442,-0.028488195951188726,0.8931204937580144,0.8494885427106809,0.04363195104733353
Pickpocket (transit),216,0.002419029700309098,3.4717555884065764e-4,0.0012065913556242225,-8.594157967835648e-4,0.9990632066909897,0.9975868102281229,0.0014763964628667914
Pickpocket (non-transit),2342,0.026228553509832907,0.0030797831832638984,0.012773295894728065,-0.009693512711464167,0.9901048223250344,0.974444618964089,0.015660203360945424
Shootings,688,0.0077050575639474985,0.0033933611073780406,0.003822920918175003,-4.295598107969625e-4,0.993163467338411,0.9923539312007695,8.095361376414534e-4
Gun violence,2484,0.02781884155355463,0.008209022084845226,0.013526040099034173,-0.005317018014188947,0.9818381610411278,0.9729374494504113,0.008900711590716481
