crime_type,month_of_year,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini,month_label
Shootings,1,288,0.0032253729337454644,0.0015566904089952067,0.0016074905393610108,-5.080013036580402e-5,0.9968846748744444,0.9967850021984527,9.967267599175766e-5,Jan
Shootings,2,233,0.0026094162970926845,0.0012655109080320745,0.0013013065811856065,-3.579567315353197e-5,0.9974786393063679,0.9973973779769445,8.126132942343212e-5,Feb
Shootings,3,311,0.0034829547999820814,0.001579088832146217,0.0017354189487333623,-1.5633011658714542e-4,0.9968403459123166,0.9965291410501341,3.1120486218250143e-4,Mar
Shootings,4,306,0.0034269587421045557,0.001590288043721722,0.0017076140499263722,-1.1732600620465014e-4,0.9968105670197419,0.9965847518457784,2.2581517396347284e-4,Apr
Shootings,5,343,0.003841329570398244,0.0018142722752318237,0.0019132963166896798,-9.90240414578561e-5,0.9963767122223167,0.9961733791342532,2.0333308806352868e-4,May
Shootings,6,411,0.00460287595753259,0.002161447834072481,0.002290860979653842,-1.2941314558136087e-4,0.9956790934862224,0.9954182295051329,2.608639810894875e-4,Jun
Shootings,7,454,0.005084442055279309,0.0023518344308560675,0.0025293171311007823,-1.7748270024471472e-4,0.9952828624829569,0.99494130035052,3.4156213243696776e-4,Jul
Shootings,8,353,0.003953321686153295,0.0018254714868073288,0.0019688567543111064,-1.433852675037776e-4,0.9963478197197241,0.9960622557204588,2.855639992652703e-4,Aug
Shootings,9,349,0.0039085248398512745,0.0018814675446848542,0.0019466340784706937,-6.51665337858395e-5,0.9962451193579238,0.9961067021050375,1.3841725288632478e-4,Sep
Shootings,10,291,0.0032589705684719795,0.0015454911974197016,0.0016241806038166985,-7.868940639699684e-5,0.9969152907030534,0.9967516215420694,1.6366916098398132e-4,Oct
Shootings,11,268,0.0030013887022353625,0.001455897504815661,0.0014961946869195566,-4.029718210389567e-5,0.9970868677710761,0.997007597147903,7.927062317314437e-5,Nov
Shootings,12,253,0.0028334005286027864,0.0013551046006361153,0.0014126899735044814,-5.7585372868366146e-5,0.9972978028828984,0.9971746087116646,1.2319417123374254e-4,Dec
Gun violence,1,1030,0.011535187922770238,0.004322895668144962,0.0057013187582588545,-0.0013784230901138922,0.9910408482000149,0.9885966038291064,0.0024442443709085104,Jan
Gun violence,2,832,0.009317744030820231,0.003583747704161627,0.004615596353314246,-0.0010318486491526194,0.9926221693992743,0.9907684065552089,0.0018537628440653542,Feb
Gun violence,3,1044,0.011691976884827308,0.0039421224745777896,0.005777902890580706,-0.0018357804160029165,0.9916011705879354,0.9884434043300324,0.003157766257902983,Mar
Gun violence,4,1123,0.01257671459929221,0.004468485418626529,0.006209600935769803,-0.001741115517143274,0.9906426747841903,0.9875798158807076,0.003062858903482679,Apr
Gun violence,5,1190,0.01332706177485105,0.0047484657080141554,0.006575118793268001,-0.0018266530852538458,0.9900321370316706,0.9868485945335506,0.003183542498120029,May
