crime_type,spatial_unit,n_units,n_incidents,lambda,observed_50x,null_50x,observed_gini,null_gini,marginal_50x,marginal_gini
Murder,Block,89292,1435,0.016070868610849796,0.006383550598037898,0.007906986904099172,0.9869599736276127,0.9841839838557642,-0.001523436306061274,0.0027759897718484527
Murder,Tract,2320,1435,0.6185344827586207,0.09612068965517241,0.15199937621290716,0.7558185149585486,0.6284766971101852,-0.055878686557734744,0.1273418178483634
Murder,NTA,197,1418,7.197969543147208,0.17258883248730963,0.35936131650690006,0.5335175731888053,0.2084398391925637,-0.18677248401959043,0.3250777339962416
Murder,Precinct,78,1435,18.397435897435898,0.21794871794871795,0.4089660508990072,0.4301170374341106,0.13108736563603518,-0.19101733295028928,0.29902967179807544
Robbery,Block,89292,65951,0.7385992026161359,0.040843524615867044,0.16112250617752003,0.8660025562900467,0.5898277057003323,-0.12027898156165298,0.27617485058971447
Robbery,Tract,2320,65951,28.427155172413794,0.1564655172413793,0.42619840129504005,0.5481007777979368,0.10558428428903743,-0.26973288405366075,0.4425164935088993
Robbery,NTA,197,64835,329.11167512690355,0.2131979695431472,0.4780379320166897,0.4466983154035292,0.031093593250160922,-0.26483996247354247,0.4156047221533683
Robbery,Precinct,78,65951,845.525641025641,0.2564102564102564,0.4862861722337034,0.35234803305795404,0.0194012434529911,-0.22987591582344702,0.33294678960496293
Robbery (outdoor),Block,89292,38349,0.4294785647090445,0.04385611252967791,0.13441233607270395,0.8705379164045384,0.7046468119163348,-0.09055622354302603,0.16589110448820354
Robbery (outdoor),Tract,2320,38349,16.529741379310344,0.15689655172413794,0.40397639046705575,0.5440087566910435,0.1382411364544024,-0.2470798387429178,0.40576762023664115
Robbery (outdoor),NTA,197,37463,190.16751269035532,0.20812182741116753,0.4711356736057949,0.45366534913432693,0.040899130243544635,-0.26301384619462737,0.4127662188907823
Robbery (outdoor),Precinct,78,38349,491.65384615384613,0.24358974358974358,0.4820193669412215,0.37706830185121665,0.025441348134206954,-0.2384296233514779,0.3516269537170097
Felony assault,Block,89292,113077,1.2663732473233884,0.04114590332840568,0.22308980819751328,0.8542898527200864,0.4739467750141415,-0.1819439048691076,0.3803430777059449
Felony assault,Tract,2320,113077,48.74008620689655,0.1706896551724138,0.44324964997948435,0.5192447479334344,0.08070929973895791,-0.27255999480707055,0.43853544819447654
Felony assault,NTA,197,111663,566.8172588832488,0.2233502538071066,0.48325420837261857,0.4240399559752193,0.023694941071806808,-0.25990395456551196,0.4003450149034125
Felony assault,Precinct,78,113077,1449.7051282051282,0.2564102564102564,NA,0.34945361715173434,0.01481721221939758,NA,0.33463640493233676
Felony assault (outdoor),Block,89292,44002,0.4927877077453747,0.038346100434529407,0.14268519704126806,0.8820156804518073,0.6766855622465902,-0.10433909660673865,0.20533011820521718
Felony assault (outdoor),Tract,2320,44002,18.966379310344827,0.16120689655172413,0.41029819655914984,0.5424929352741019,0.1291195886916381,-0.24909130000742571,0.41337334658246383
Felony assault (outdoor),NTA,197,43293,219.76142131979697,0.2182741116751269,0.47313126384498655,0.44120003456555795,0.03804746731646336,-0.25485715216985966,0.4031525672490946
Felony assault (outdoor),Precinct,78,44002,564.1282051282051,0.2692307692307692,0.4832161884904471,0.3450530803378401,0.023751335281758656,-0.2139854192596779,0.32130174505608144
Street assault,Block,89292,109306,1.2241410204721588,0.04907494512386328,0.2199996675438027,0.8388787647562701,0.4809599342085171,-0.17092472241993942,0.357918830547753
Street assault,Tract,2320,109306,47.11465517241379,0.17974137931034484,0.4423999868346033,0.5018810132516308,0.08208605859813456,-0.26265860752425846,0.41979495465349626
Street assault,NTA,197,107598,546.1827411167512,0.233502538071066,0.48294313688834695,0.40283267205445955,0.02413828270485585,-0.24944059881728095,0.3786943893496037
Street assault,Precinct,78,109306,1401.3589743589744,0.3076923076923077,NA,0.2919181953086771,0.015070615616229022,NA,0.27684757969244805
Burglary,Block,89292,55281,0.6191036151054966,0.05056444026340546,0.15202133339928584,0.8465035281501349,0.6282779176851028,-0.10145689313588038,0.21822561046503208
Burglary,Tract,2320,55281,23.82801724137931,0.1875,0.4195150163269298,0.47934846511459633,0.11527520998730156,-0.23201501632692978,0.36407325512729477
Burglary,NTA,197,54826,278.3045685279188,0.24873096446700507,0.47612221929655796,0.3678557785303612,0.03381172442828895,-0.22739125482955289,0.3340440541020723
