NTA2020,n_tracts,n_incidents,gini_tracts,crime_type
BK0101,15,1,0.9333333333333333,Murder
BK0102,13,3,0.7692307692307693,Murder
BK0103,10,0,NA,Murder
BK0104,16,7,0.5625,Murder
BK0201,6,0,NA,Murder
BK0202,11,5,0.7636363636363637,Murder
BK0203,11,7,0.7792207792207793,Murder
BK0204,7,2,0.8571428571428571,Murder
BK0301,21,23,0.6004140786749482,Murder
BK0302,23,27,0.5314009661835749,Murder
BK0401,13,6,0.6666666666666666,Murder
BK0402,16,6,0.625,Murder
BK0501,14,15,0.5761904761904761,Murder
BK0502,13,19,0.6072874493927125,Murder
BK0503,14,25,0.5114285714285715,Murder
BK0504,4,3,0.5833333333333334,Murder
BK0505,12,12,0.4027777777777778,Murder
BK0601,21,5,0.7619047619047619,Murder
BK0602,16,5,0.8625,Murder
BK0701,8,0,NA,Murder
BK0702,18,6,0.8148148148148148,Murder
BK0703,14,6,0.6904761904761905,Murder
BK0801,6,3,0.7222222222222222,Murder
BK0802,22,33,0.45041322314049587,Murder
BK0901,13,18,0.5726495726495726,Murder
BK0902,14,4,0.8214285714285714,Murder
BK1001,28,6,0.8452380952380952,Murder
BK1002,17,1,0.9411764705882353,Murder
BK1101,28,10,0.8857142857142857,Murder
BK1102,11,2,0.9090909090909091,Murder
BK1103,16,2,0.875,Murder
BK1201,10,1,0.9,Murder
BK1202,21,3,0.9206349206349206,Murder
BK1203,10,3,0.9,Murder
BK1204,16,1,0.9375,Murder
BK1301,7,1,0.8571428571428571,Murder
BK1302,12,12,0.6388888888888888,Murder
BK1303,8,3,0.7916666666666666,Murder
BK1401,18,13,0.6538461538461539,Murder
BK1402,11,3,0.7272727272727273,Murder
BK1403,16,0,NA,Murder
BK1501,18,2,0.8888888888888888,Murder
BK1502,15,2,0.8666666666666667,Murder
BK1503,20,6,0.9333333333333333,Murder
BK1601,10,12,0.5666666666666667,Murder
BK1602,14,36,0.4603174603174603,Murder
BK1701,11,9,0.3434343434343434,Murder
BK1702,14,12,0.5595238095238095,Murder
BK1703,16,18,0.4513888888888889,Murder
BK1704,9,16,0.5694444444444444,Murder
BK1801,27,6,0.7777777777777778,Murder
BK1802,19,4,0.7894736842105263,Murder
BK1803,34,16,0.7316176470588235,Murder
BX0101,15,30,0.4666666666666667,Murder
BX0102,8,21,0.31547619047619047,Murder
BX0201,6,5,0.6333333333333333,Murder
BX0202,9,22,0.26262626262626265,Murder
BX0301,7,12,0.40476190476190477,Murder
BX0302,6,8,0.5416666666666666,Murder
BX0303,7,12,0.5238095238095238,Murder
BX0401,14,24,0.4583333333333333,Murder
BX0402,5,13,0.4307692307692308,Murder
BX0403,12,18,0.5,Murder
BX0501,13,19,0.29959514170040485,Murder
BX0502,10,31,0.38387096774193546,Murder
BX0503,7,18,0.2698412698412698,Murder
BX0601,5,9,0.4888888888888889,Murder
BX0602,9,25,0.3288888888888889,Murder
BX0603,7,13,0.43956043956043955,Murder
BX0701,9,14,0.3333333333333333,Murder
BX0702,11,12,0.5757575757575758,Murder
BX0703,8,12,0.5208333333333334,Murder
BX0801,6,5,0.43333333333333335,Murder
BX0802,5,3,0.4,Murder
BX0803,14,0,NA,Murder
BX0901,15,26,0.38461538461538464,Murder
BX0902,8,3,0.7916666666666666,Murder
BX0903,9,14,0.6031746031746031,Murder
BX0904,5,1,0.8,Murder
BX1001,5,4,0.2,Murder
BX1002,14,9,0.8174603174603174,Murder
BX1003,6,1,0.8333333333333334,Murder
BX1004,7,2,0.7142857142857143,Murder
BX1101,9,4,0.7222222222222222,Murder
BX1102,10,3,0.7,Murder
BX1103,10,6,0.8,Murder
BX1104,9,8,0.6388888888888888,Murder
BX1201,20,18,0.6111111111111112,Murder
BX1202,12,15,0.5277777777777778,Murder
BX1203,16,13,0.7067307692307693,Murder
MN0101,7,1,0.8571428571428571,Murder
MN0102,5,3,0.6666666666666666,Murder
MN0201,6,6,0.4444444444444444,Murder
MN0202,7,3,0.5714285714285714,Murder
MN0203,7,6,0.5714285714285714,Murder
MN0301,7,12,0.40476190476190477,Murder
MN0302,10,7,0.4714285714285714,Murder
MN0303,14,11,0.6168831168831169,Murder
MN0401,13,11,0.5734265734265734,Murder
MN0402,10,11,0.4636363636363636,Murder
MN0501,8,3,0.7916666666666666,Murder
MN0502,14,11,0.7207792207792207,Murder
MN0601,2,0,NA,Murder
MN0602,4,1,0.75,Murder
MN0603,9,8,0.6388888888888888,Murder
MN0604,10,5,0.86,Murder
MN0701,11,0,NA,Murder
MN0702,12,7,0.75,Murder
MN0703,6,2,0.8333333333333334,Murder
MN0801,14,0,NA,Murder
MN0802,14,4,0.7142857142857143,Murder
MN0803,14,2,0.8571428571428571,Murder
MN0901,8,1,0.875,Murder
MN0902,5,6,0.3333333333333333,Murder
MN0903,7,9,0.47619047619047616,Murder
MN1001,10,17,0.45294117647058824,Murder
MN1002,15,37,0.38198198198198197,Murder
MN1101,11,14,0.45454545454545453,Murder
MN1102,12,25,0.3233333333333333,Murder
MN1201,11,17,0.40641711229946526,Murder
MN1202,12,9,0.6759259259259259,Murder
MN1203,6,10,0.6333333333333333,Murder
QN0101,17,4,0.8529411764705882,Murder
QN0102,6,2,0.8333333333333334,Murder
QN0103,11,2,0.8181818181818182,Murder
QN0104,14,5,0.7571428571428571,Murder
QN0105,12,2,0.8333333333333334,Murder
QN0201,9,0,NA,Murder
QN0202,18,2,0.8888888888888888,Murder
QN0203,14,1,0.9285714285714286,Murder
QN0301,20,5,0.75,Murder
QN0302,10,7,0.4714285714285714,Murder
QN0303,10,5,0.66,Murder
QN0401,23,10,0.7478260869565218,Murder
QN0402,17,7,0.7563025210084033,Murder
QN0501,20,3,0.85,Murder
QN0502,19,6,0.7719298245614035,Murder
QN0503,13,1,0.9230769230769231,Murder
QN0504,14,3,0.7857142857142857,Murder
QN0601,8,1,0.875,Murder
QN0602,24,3,0.875,Murder
QN0701,7,5,0.6285714285714286,Murder
QN0702,7,0,NA,Murder
QN0703,5,0,NA,Murder
QN0704,15,3,0.8888888888888888,Murder
QN0705,14,1,0.9285714285714286,Murder
QN0706,5,1,0.8,Murder
QN0707,14,8,0.6428571428571429,Murder
QN0801,8,2,0.75,Murder
QN0802,8,3,0.7916666666666666,Murder
QN0803,6,0,NA,Murder
QN0804,8,4,0.6875,Murder
QN0805,10,1,0.9,Murder
QN0901,9,0,NA,Murder
QN0902,13,7,0.8131868131868132,Murder
QN0903,9,5,0.6222222222222222,Murder
QN0904,10,3,0.7,Murder
QN0905,13,2,0.8461538461538461,Murder
QN1001,25,8,0.75,Murder
QN1002,7,5,0.2857142857142857,Murder
QN1003,4,1,0.75,Murder
QN1101,13,0,NA,Murder
QN1102,13,3,0.7692307692307693,Murder
QN1103,6,0,NA,Murder
QN1104,5,1,0.8,Murder
QN1201,15,14,0.5714285714285714,Murder
QN1202,14,12,0.4642857142857143,Murder
QN1203,20,9,0.7722222222222223,Murder
QN1204,6,3,0.7222222222222222,Murder
QN1205,23,10,0.7478260869565218,Murder
QN1206,10,2,0.8,Murder
QN1301,6,0,NA,Murder
QN1302,6,3,0.7222222222222222,Murder
QN1303,20,2,0.9,Murder
QN1304,13,0,NA,Murder
QN1305,11,3,0.7272727272727273,Murder
QN1306,7,9,0.6349206349206349,Murder
QN1307,8,2,0.75,Murder
QN1401,11,19,0.5645933014354066,Murder
QN1402,9,3,0.6666666666666666,Murder
QN1403,7,2,0.7142857142857143,Murder
SI0101,6,4,0.6666666666666666,Murder
SI0102,5,8,0.6,Murder
SI0103,7,4,0.7857142857142857,Murder
SI0104,12,4,0.6666666666666666,Murder
SI0105,8,1,0.875,Murder
SI0106,6,3,0.5,Murder
SI0107,8,6,0.25,Murder
SI0201,9,2,0.8888888888888888,Murder
SI0202,6,0,NA,Murder
SI0203,9,0,NA,Murder
SI0204,9,1,0.8888888888888888,Murder
SI0301,5,0,NA,Murder
SI0302,11,3,0.7272727272727273,Murder
SI0303,7,1,0.8571428571428571,Murder
SI0304,7,2,0.7142857142857143,Murder
SI0305,4,1,0.75,Murder
BK0101,15,103,0.3870550161812298,Robbery (outdoor)
BK0102,13,242,0.17482517482517482,Robbery (outdoor)
BK0103,10,85,0.47411764705882353,Robbery (outdoor)
BK0104,16,256,0.3720703125,Robbery (outdoor)
BK0201,6,67,0.36069651741293535,Robbery (outdoor)
BK0202,11,268,0.35278154681139756,Robbery (outdoor)
BK0203,11,154,0.28807556080283353,Robbery (outdoor)
BK0204,7,58,0.20689655172413793,Robbery (outdoor)
BK0301,21,331,0.28312473025463963,Robbery (outdoor)
BK0302,23,409,0.2770277452960561,Robbery (outdoor)
BK0401,13,398,0.2825666795516042,Robbery (outdoor)
BK0402,16,391,0.36684782608695654,Robbery (outdoor)
BK0501,14,252,0.268140589569161,Robbery (outdoor)
BK0502,13,416,0.3798076923076923,Robbery (outdoor)
BK0503,14,425,0.28756302521008403,Robbery (outdoor)
BK0504,4,90,0.55,Robbery (outdoor)
BK0505,12,359,0.3159238625812442,Robbery (outdoor)
BK0601,21,197,0.4853758762388204,Robbery (outdoor)
BK0602,16,143,0.3763111888111888,Robbery (outdoor)
BK0701,8,37,0.16554054054054054,Robbery (outdoor)
BK0702,18,189,0.40828924162257496,Robbery (outdoor)
BK0703,14,177,0.24656981436642453,Robbery (outdoor)
BK0801,6,53,0.3113207547169811,Robbery (outdoor)
BK0802,22,399,0.23319662793347004,Robbery (outdoor)
BK0901,13,130,0.26272189349112424,Robbery (outdoor)
BK0902,14,154,0.2300556586270872,Robbery (outdoor)
BK1001,28,101,0.435997171145686,Robbery (outdoor)
BK1002,17,65,0.4796380090497738,Robbery (outdoor)
