BoroCT2020,n_blocks,gini_blocks,n_incidents,crime_type
1000201,16,NA,0,Murder
1000202,43,0.9767441860465116,1,Murder
1000600,37,0.972972972972973,1,Murder
1000700,70,NA,0,Murder
1000800,81,0.9506172839506173,4,Murder
1000900,62,NA,0,Murder
1001001,24,NA,0,Murder
1001002,20,0.95,1,Murder
1001200,32,NA,0,Murder
1001300,67,NA,0,Murder
1001401,12,NA,0,Murder
1001402,25,0.96,1,Murder
1001501,75,NA,0,Murder
1001502,57,0.9824561403508771,1,Murder
1001600,48,0.9375,3,Murder
1001800,45,0.9555555555555556,2,Murder
1002000,14,0.9285714285714286,1,Murder
1002100,50,NA,0,Murder
1002201,16,0.9375,1,Murder
1002202,9,0.8888888888888888,1,Murder
1002400,15,NA,0,Murder
1002500,24,0.9583333333333334,1,Murder
1002601,12,0.9166666666666666,1,Murder
1002602,14,NA,0,Murder
1002700,17,0.8823529411764706,2,Murder
1002800,21,0.8571428571428571,3,Murder
1002901,28,0.9642857142857143,1,Murder
1002902,29,0.9655172413793104,1,Murder
1003001,23,0.9565217391304348,1,Murder
1003002,12,NA,0,Murder
1003100,56,0.9642857142857143,2,Murder
1003200,24,0.9166666666666666,2,Murder
1003300,97,NA,0,Murder
1003400,17,0.8823529411764706,2,Murder
1003601,13,NA,0,Murder
1003602,18,NA,0,Murder
1003700,75,0.9733333333333334,2,Murder
1003800,30,NA,0,Murder
1003900,79,NA,0,Murder
1004001,10,NA,0,Murder
1004002,14,NA,0,Murder
1004100,48,NA,0,Murder
1004200,18,0.9444444444444444,1,Murder
1004300,31,0.967741935483871,1,Murder
1004400,24,NA,0,Murder
1004500,21,0.9523809523809523,1,Murder
1004700,40,0.95,2,Murder
1004800,28,NA,0,Murder
1004900,30,NA,0,Murder
1005000,31,NA,0,Murder
1005200,34,NA,0,Murder
1005400,15,NA,0,Murder
1005501,17,NA,0,Murder
1005502,34,0.9705882352941176,1,Murder
1005600,24,NA,0,Murder
1005700,20,NA,0,Murder
1005800,29,NA,0,Murder
1005900,27,NA,0,Murder
1006000,11,NA,0,Murder
1006100,23,0.9565217391304348,1,Murder
1006200,36,0.9722222222222222,2,Murder
1006300,19,NA,0,Murder
1006400,22,NA,0,Murder
1006500,38,0.9736842105263158,1,Murder
1006600,21,0.9047619047619048,2,Murder
1006700,56,0.9821428571428571,3,Murder
1006800,34,0.9705882352941176,1,Murder
1006900,37,NA,0,Murder
1007001,10,NA,0,Murder
1007002,12,0.75,3,Murder
1007100,39,0.9743589743589743,1,Murder
1007200,29,0.9655172413793104,1,Murder
1007300,50,0.98,1,Murder
1007400,28,NA,0,Murder
1007500,34,0.9705882352941176,1,Murder
1007600,28,NA,0,Murder
1007700,47,NA,0,Murder
1007800,38,NA,0,Murder
1007900,60,NA,0,Murder
1008000,33,NA,0,Murder
1008100,15,NA,0,Murder
1008200,34,NA,0,Murder
1008300,22,0.9545454545454546,2,Murder
1008400,13,NA,0,Murder
1008601,30,NA,0,Murder
1008603,19,NA,0,Murder
1008700,16,NA,0,Murder
1008800,31,NA,0,Murder
1008900,15,0.8666666666666667,2,Murder
1009000,23,0.9565217391304348,1,Murder
1009100,17,0.8823529411764706,2,Murder
1009200,35,NA,0,Murder
1009300,18,NA,0,Murder
1009400,28,NA,0,Murder
1009500,15,0.8666666666666667,2,Murder
1009600,19,NA,0,Murder
1009700,17,0.8823529411764706,2,Murder
1009800,19,NA,0,Murder
1009901,36,0.9722222222222222,1,Murder
1009902,20,NA,0,Murder
1009903,50,NA,0,Murder
1010000,29,0.9655172413793104,4,Murder
1010100,15,0.9333333333333333,1,Murder
1010200,28,NA,0,Murder
1010300,28,NA,0,Murder
1010400,19,NA,0,Murder
1010601,19,NA,0,Murder
1010602,30,NA,0,Murder
1010801,9,NA,0,Murder
1010802,13,NA,0,Murder
1010803,5,NA,0,Murder
1010900,25,0.96,1,Murder
1011000,27,NA,0,Murder
1011100,38,0.9736842105263158,2,Murder
1011201,6,NA,0,Murder
1011202,12,NA,0,Murder
1011203,13,NA,0,Murder
1011300,22,0.8636363636363636,3,Murder
1011401,13,0.9230769230769231,1,Murder
1011402,16,0.9375,1,Murder
1011500,49,0.9659863945578231,3,Murder
1011600,16,NA,0,Murder
1011700,46,NA,0,Murder
1011800,26,NA,0,Murder
1011900,22,0.9242424242424242,3,Murder
1012000,29,NA,0,Murder
1012101,8,0.75,2,Murder
1012102,6,NA,0,Murder
1012200,27,NA,0,Murder
1012400,20,NA,0,Murder
1012500,21,0.8571428571428571,3,Murder
1012601,12,NA,0,Murder
1012602,10,NA,0,Murder
1012700,18,0.9444444444444444,1,Murder
1012800,30,NA,0,Murder
1012901,21,0.9047619047619048,2,Murder
1012902,20,NA,0,Murder
1013000,29,NA,0,Murder
1013100,28,0.9642857142857143,1,Murder
1013201,7,NA,0,Murder
1013202,13,NA,0,Murder
1013203,4,NA,0,Murder
1013300,16,0.9375,1,Murder
1013400,22,NA,0,Murder
1013501,13,NA,0,Murder
1013502,24,0.9583333333333334,1,Murder
1013601,10,NA,0,Murder
1013602,4,NA,0,Murder
1013603,6,NA,0,Murder
1013604,9,NA,0,Murder
1013700,33,NA,0,Murder
1013800,22,0.9545454545454546,1,Murder
1013900,15,0.9333333333333333,1,Murder
1014000,22,0.9545454545454546,1,Murder
1014200,33,NA,0,Murder
1014401,6,NA,0,Murder
1014402,19,0.9473684210526315,1,Murder
1014500,26,NA,0,Murder
1014601,11,NA,0,Murder
1014602,11,NA,0,Murder
1014700,7,NA,0,Murder
1014801,6,NA,0,Murder
1014802,19,NA,0,Murder
1014900,21,NA,0,Murder
1015001,11,NA,0,Murder
1015002,22,NA,0,Murder
1015101,13,NA,0,Murder
1015102,31,NA,0,Murder
1015200,24,NA,0,Murder
1015301,9,NA,0,Murder
1015302,15,NA,0,Murder
1015401,8,NA,0,Murder
1015402,6,NA,0,Murder
1015403,6,NA,0,Murder
1015501,2,NA,0,Murder
1015502,13,NA,0,Murder
1015601,7,NA,0,Murder
1015602,10,0.9,1,Murder
1015700,22,NA,0,Murder
1015801,16,0.9375,1,Murder
1015802,8,NA,0,Murder
1015900,26,NA,0,Murder
1016001,24,NA,0,Murder
1016002,9,NA,0,Murder
1016100,11,NA,0,Murder
1016200,39,0.9572649572649573,3,Murder
1016300,35,NA,0,Murder
1016400,20,0.9,2,Murder
1016500,16,NA,0,Murder
1016600,27,0.9259259259259259,2,Murder
1016700,28,NA,0,Murder
1016800,26,0.8846153846153846,3,Murder
1016900,17,0.9411764705882353,1,Murder
1017000,21,0.9523809523809523,1,Murder
1017100,24,0.9583333333333334,3,Murder
1017200,29,0.9655172413793104,1,Murder
1017300,19,NA,0,Murder
1017401,18,NA,0,Murder
1017402,10,0.9,1,Murder
1017500,23,NA,0,Murder
1017700,16,NA,0,Murder
1017800,21,0.9523809523809523,1,Murder
1017900,26,NA,0,Murder
1018000,19,0.8947368421052632,2,Murder
1018100,13,0.9230769230769231,1,Murder
1018200,21,0.8095238095238095,4,Murder
1018300,25,0.92,2,Murder
1018400,31,0.967741935483871,1,Murder
1018500,2,NA,0,Murder
1018600,9,NA,0,Murder
1018700,32,NA,0,Murder
1018800,18,0.8611111111111112,4,Murder
1018900,35,0.9428571428571428,2,Murder
1019000,11,0.8181818181818182,2,Murder
1019100,26,NA,0,Murder
1019200,35,NA,0,Murder
1019300,25,NA,0,Murder
1019400,18,0.9444444444444444,1,Murder
1019500,22,NA,0,Murder
1019600,31,0.9354838709677419,2,Murder
1019701,15,NA,0,Murder
1019702,10,NA,0,Murder
1019800,39,0.9487179487179487,2,Murder
1019900,25,NA,0,Murder
1020000,21,0.8809523809523809,4,Murder
1020101,6,NA,0,Murder
1020102,16,NA,0,Murder
1020300,9,NA,0,Murder
1020500,20,NA,0,Murder
1020600,22,0.9090909090909091,2,Murder
1020701,8,NA,0,Murder
1020800,17,0.8823529411764706,2,Murder
1020901,16,0.9375,1,Murder
1021000,38,0.9473684210526315,2,Murder
1021100,27,NA,0,Murder
1021200,13,0.8461538461538461,2,Murder
1021303,25,0.92,2,Murder
1021400,13,0.9230769230769231,1,Murder
1021500,15,0.9333333333333333,2,Murder
1021600,27,0.9259259259259259,2,Murder
1021703,23,NA,0,Murder
1021800,21,0.9047619047619048,2,Murder
1021900,61,0.9836065573770492,1,Murder
1022000,24,0.9583333333333334,1,Murder
1022102,27,0.9629629629629629,1,Murder
1022200,14,0.8214285714285714,4,Murder
1022301,17,0.8823529411764706,2,Murder
1022302,15,0.9333333333333333,1,Murder
1022400,17,0.9411764705882353,1,Murder
1022500,22,NA,0,Murder
1022600,16,0.875,2,Murder
1022700,21,NA,0,Murder
1022800,18,0.7592592592592593,6,Murder
1022900,24,0.875,3,Murder
1023000,16,0.8125,3,Murder
1023100,32,0.90625,3,Murder
1023200,15,0.8888888888888888,3,Murder
1023300,20,0.95,1,Murder
1023400,16,0.875,2,Murder
1023501,40,0.975,1,Murder
1023502,13,NA,0,Murder
1023600,44,0.9772727272727273,1,Murder
1023700,16,0.9375,1,Murder
1023802,27,NA,0,Murder
1023803,14,NA,0,Murder
1023804,31,NA,0,Murder
1023900,11,0.9090909090909091,1,Murder
1024100,25,0.88,3,Murder
1024200,57,0.9824561403508771,4,Murder
1024301,23,0.9565217391304348,2,Murder
1024302,17,0.9019607843137255,6,Murder
1024500,34,0.9411764705882353,2,Murder
1024700,18,0.9444444444444444,1,Murder
1024900,15,NA,0,Murder
1025100,28,0.9642857142857143,1,Murder
1025300,37,NA,0,Murder
1025500,59,0.9576271186440678,4,Murder
1025700,34,0.9411764705882353,2,Murder
1025900,22,0.7727272727272727,5,Murder
1026100,33,0.9393939393939394,2,Murder
1026300,48,0.9791666666666666,1,Murder
1026500,66,NA,0,Murder
1026700,11,NA,0,Murder
1026900,33,0.9494949494949495,3,Murder
1027100,37,NA,0,Murder
1027300,25,0.96,1,Murder
1027500,20,NA,0,Murder
1027700,20,NA,0,Murder
1027900,37,NA,0,Murder
1028100,4,NA,0,Murder
1028300,24,0.9583333333333334,1,Murder
1028500,17,0.8823529411764706,2,Murder
1028700,60,0.9666666666666667,2,Murder
1029100,19,0.7894736842105263,4,Murder
1029300,24,0.9583333333333334,1,Murder
1029500,18,NA,0,Murder
1029900,70,0.9514285714285714,5,Murder
1030300,26,NA,0,Murder
1030700,16,NA,0,Murder
1030900,26,0.9615384615384616,1,Murder
1031703,35,NA,0,Murder
1031704,43,NA,0,Murder
2000200,135,NA,0,Murder
2000400,114,NA,0,Murder
2001600,55,NA,0,Murder
2001901,45,0.9555555555555556,2,Murder
2001902,113,0.9734513274336283,3,Murder
2001903,62,NA,0,Murder
2002001,15,0.8666666666666667,2,Murder
2002002,34,NA,0,Murder
2002300,13,NA,0,Murder
2002500,20,0.85,3,Murder
2002701,10,0.78,5,Murder
2002702,29,0.9655172413793104,1,Murder
2002800,53,0.9811320754716981,1,Murder
2003100,32,NA,0,Murder
2003300,31,0.9354838709677419,2,Murder
2003500,31,0.967741935483871,1,Murder
2003700,8,NA,0,Murder
2003800,7,NA,0,Murder
2003900,28,0.8785714285714286,5,Murder
2004001,15,NA,0,Murder
2004100,29,0.9310344827586207,2,Murder
2004200,59,0.9830508474576272,1,Murder
2004300,37,0.8918918918918919,4,Murder
2004400,28,0.9642857142857143,1,Murder
2004600,44,NA,0,Murder
2004800,17,0.9411764705882353,1,Murder
2005001,10,0.8,2,Murder
2005002,10,0.8,2,Murder
2005100,112,0.9821428571428571,2,Murder
2005200,19,0.8947368421052632,2,Murder
2005300,19,0.8947368421052632,2,Murder
2005400,16,0.8541666666666666,6,Murder
2005600,18,NA,0,Murder
2005902,7,NA,0,Murder
2006000,43,NA,0,Murder
2006100,20,0.9166666666666666,3,Murder
2006200,24,0.9166666666666666,2,Murder
2006301,118,0.9830508474576272,2,Murder
2006400,22,0.9242424242424242,3,Murder
