level,variance,vpc,crime_type,converged,theta,mu,n_incidents,elapsed_sec
NTA,1.5307811846321546,0.23789409225112987,Murder,TRUE,0.2657344508315438,0.010357793360088305,1418,0.9
Tract,0.2857624879108834,0.04440948735420987,Murder,TRUE,0.2657344508315438,0.010357793360088305,1418,0.9
Block,4.618173432647641,0.7176964203946603,Murder,TRUE,0.2657344508315438,0.010357793360088305,1418,0.9
NTA,1.5344066990737937,0.4429033159639026,Robbery,TRUE,0.5245695395326377,0.5608896202586424,64835,1.4
Tract,0.3847579428913796,0.11105958339005297,Robbery,TRUE,0.5245695395326377,0.5608896202586424,64835,1.4
Block,1.5452634708260404,0.44603710064604446,Robbery,TRUE,0.5245695395326377,0.5608896202586424,64835,1.4
NTA,1.509351966144357,0.4318052770674608,Robbery (outdoor),TRUE,0.7432714982272466,0.3280066018205928,37463,1.3
Tract,0.30078395018907533,0.08605023868661861,Robbery (outdoor),TRUE,0.7432714982272466,0.3280066018205928,37463,1.3
Block,1.6853099392496418,0.48214448424592055,Robbery (outdoor),TRUE,0.7432714982272466,0.3280066018205928,37463,1.3
NTA,1.179484916499843,0.39102182040446676,Felony assault,TRUE,0.4189549921007857,1.0460561714461354,111663,1.6
Tract,0.3683984388759507,0.12213113214784979,Felony assault,TRUE,0.4189549921007857,1.0460561714461354,111663,1.6
Block,1.4685337726499585,0.4868470474476835,Felony assault,TRUE,0.4189549921007857,1.0460561714461354,111663,1.6
NTA,1.3543911186014823,0.38983873354044857,Felony assault (outdoor),TRUE,0.4703523903051843,0.38158327075050336,43293,1.2
Tract,0.37121301875867185,0.10684743211845293,Felony assault (outdoor),TRUE,0.4703523903051843,0.38158327075050336,43293,1.2
Block,1.7486302115490326,0.5033138343410984,Felony assault (outdoor),TRUE,0.4703523903051843,0.38158327075050336,43293,1.2
NTA,1.093777983477452,0.3837727340563926,Street assault,TRUE,0.47982667840330745,1.0374910112295328,107598,1.6
Tract,0.3580784693266102,0.12563861702838366,Street assault,TRUE,0.47982667840330745,1.0374910112295328,107598,1.6
Block,1.3982104915472506,0.49058864891522375,Street assault,TRUE,0.47982667840330745,1.0374910112295328,107598,1.6
NTA,0.8449708653796034,0.3291576697090867,Burglary,TRUE,0.5558395014190465,0.5810631445025236,54826,1.3
Tract,0.2135732787388894,0.08319728599191416,Burglary,TRUE,0.5558395014190465,0.5810631445025236,54826,1.3
Block,1.5085261177605584,0.5876450442989992,Burglary,TRUE,0.5558395014190465,0.5810631445025236,54826,1.3
NTA,0.7671521298545498,0.2624481943536362,Residential burglary,TRUE,0.4331954010102631,0.2935027170077236,27367,1
Tract,0.2514832358671467,0.08603420181608039,Residential burglary,TRUE,0.4331954010102631,0.2935027170077236,27367,1
Block,1.9044258187681065,0.6515176038302833,Residential burglary,TRUE,0.4331954010102631,0.2935027170077236,27367,1
NTA,1.451413036188092,0.31369014665276085,Commercial burglary,TRUE,0.22797912773762102,0.13632113971946228,19990,1.2
Tract,0.632155603276291,0.13662615599754468,Commercial burglary,TRUE,0.22797912773762102,0.13632113971946228,19990,1.2
Block,2.543331668611704,0.5496836973496946,Commercial burglary,TRUE,0.22797912773762102,0.13632113971946228,19990,1.2
NTA,0.8626348934834974,0.38630580226636346,Grand larceny,TRUE,0.6172499223892501,1.9755830455715286,192203,1.8
Tract,0.2305611649575443,0.10325007308795515,Grand larceny,TRUE,0.6172499223892501,1.9755830455715286,192203,1.8
