crime_type,vpc_NTA,vpc_Tract,vpc_Block,vpc_Precinct
Murder,0.23789409225112987,0.04440948735420987,0.7176964203946603,0.22316632546307555
Theft from auto,0.2623893218943485,0.06914178380272698,0.6684688943029246,0.25105432079186435
Residential burglary,0.2624481943536362,0.08603420181608039,0.6515176038302833,0.2687997616781038
GLA,0.2930762161585142,0.06043577391807832,0.6464880099234075,0.2574936296000206
Vehicle accessory theft,0.29161053685071675,0.0678014920948823,0.6405879710544009,0.31104679976072414
Burglary,0.3291576697090867,0.08319728599191416,0.5876450442989992,0.3548228511218654
Shootings,0.35594657021419673,0.0659681609193756,0.5780852688664277,0.3351092296596048
Commercial burglary,0.31369014665276085,0.13662615599754468,0.5496836973496946,0.3447973400152589
Pickpocket (transit),0.4425951125396308,0.020788381934977722,0.5366165055253915,0.4222692303064665
Property crime,0.3894344046447649,0.09168901438639336,0.5188765809688417,0.41029764461415535
Grand larceny,0.38630580226636346,0.10325007308795515,0.5104441246456815,0.4174381093917606
Felony assault (outdoor),0.38983873354044857,0.10684743211845293,0.5033138343410984,0.36617794864236847
Street assault,0.3837727340563926,0.12563861702838366,0.49058864891522375,0.35543018828306405
7 Major Felonies,0.4085290625229689,0.10241041773463393,0.4890605197423971,0.40937922403756954
Felony assault,0.39102182040446676,0.12213113214784979,0.4868470474476835,0.3662658646245947
Robbery (outdoor),0.4318052770674608,0.08605023868661861,0.48214448424592055,0.4062226637066131
Gun violence,0.4271335499842543,0.09695192500291187,0.47591452501283393,0.41763563376988055
Pickpocket (non-transit),0.38608818417725727,0.1494695194876035,0.4644422963351394,0.4608581433185825
Robbery,0.4429033159639026,0.11105958339005297,0.44603710064604446,0.4166352237536769
Violent crime,0.42724320462177995,0.12812129524390423,0.44463550013431585,0.3948041790324832
Retail theft,0.2456594892838826,0.39303314897917213,0.3613073617369452,0.26366498475489747
