crime_type,Murder,Robbery,Robbery (outdoor),Felony assault,Felony assault (outdoor),Street assault,Burglary,Residential burglary,Commercial burglary,Grand larceny,GLA,Retail theft,Vehicle accessory theft,Theft from auto,Pickpocket (transit),Pickpocket (non-transit),Shootings,Gun violence
Murder,1,0.2078684831312942,0.19532964255139354,0.2413369119722985,0.25719510413519636,0.24038821084745737,0.0937753953261738,0.15248547563827602,0.03448137685094137,0.08935892410720281,0.1367335037341098,0.018509373947097923,0.06794637645091242,0.1262857232907361,0.0509159535143506,0.06209773147741737,0.41728459197152357,0.41728459197152357
Robbery,0.2078684831312942,1,0.8440274850865006,0.5750395621783895,0.6697970589505907,0.7159984197834511,0.47311446017846287,0.2746804652180087,0.38978983464936445,0.5872661911746376,0.40759127491476105,0.4121848205183559,0.19120125700199647,0.38230953520557603,0.23038366213239528,0.38432411850428727,0.31057595417936706,0.31057595417936706
Robbery (outdoor),0.19532964255139354,0.8440274850865006,1,0.49414054713784145,0.6502895463885093,0.6962940325770933,0.2820979729860209,0.2590990342204338,0.18065592389479262,0.39016906003612695,0.3999058094724064,0.16887366375122054,0.23485698607595953,0.40884967924922117,0.14061015285763348,0.30687907870875536,0.29786948383295764,0.29786948383295764
Felony assault,0.2413369119722985,0.5750395621783895,0.49414054713784145,1,0.7168326325784117,0.663211226907278,0.26403678711465645,0.33061379570939503,0.13415980716931472,0.32712286579482724,0.36679051848660654,0.11151081749943502,0.1840267534178696,0.33688932871799976,0.15928893277718828,0.23972433647535024,0.4018057847440362,0.4018057847440362
Felony assault (outdoor),0.25719510413519636,0.6697970589505907,0.6502895463885093,0.7168326325784117,1,0.877664352505067,0.2763606514904853,0.27674217919707395,0.16941116761084923,0.38114813638704437,0.35684056056187696,0.14429749405736328,0.17417595708121808,0.34424322718908795,0.16511809818179385,0.32477215808074256,0.45540304802268633,0.45540304802268633
Street assault,0.24038821084745737,0.7159984197834511,0.6962940325770933,0.663211226907278,0.877664352505067,1,0.3043728852702709,0.27837611035922005,0.20015130843317244,0.45483944216816874,0.367193306406753,0.17559954702235056,0.16739567305338912,0.35528498028292355,0.22634609607217182,0.41275757175068895,0.38342193920770795,0.38342193920770795
Burglary,0.0937753953261738,0.47311446017846287,0.2820979729860209,0.26403678711465645,0.2763606514904853,0.3043728852702709,1,0.44118528981037947,0.917097137717456,0.591310695855048,0.2293346888190771,0.5675653525966523,0.11571823003725386,0.20608674678325808,0.04552648654919721,0.2472991547061271,0.12333281022096249,0.12333281022096249
Residential burglary,0.15248547563827602,0.2746804652180087,0.2590990342204338,0.33061379570939503,0.27674217919707395,0.27837611035922005,0.44118528981037947,1,0.07599442848485732,0.1782535226264984,0.29809462138005055,0.02814400568288191,0.1983164495933479,0.2622181979787774,0.006511248240154158,0.04277028215818858,0.20548528545466946,0.20548528545466946
Commercial burglary,0.03448137685094137,0.38978983464936445,0.18065592389479262,0.13415980716931472,0.16941116761084923,0.20015130843317244,0.917097137717456,0.07599442848485732,1,0.5790454915657288,0.10453891970459639,0.6251078670107395,0.026561545058377267,0.08920290111179517,0.046947875130426815,0.25517959697217996,0.036250300428775493,0.036250300428775493
Grand larceny,0.08935892410720281,0.5872661911746376,0.39016906003612695,0.32712286579482724,0.38114813638704437,0.45483944216816874,0.591310695855048,0.1782535226264984,0.5790454915657288,1,0.27633084915977435,0.6486564184759901,0.1594237301800846,0.2471672829770105,0.2230021251591611,0.5797882733734004,0.1097633188012959,0.1097633188012959
