year,crime_type,total_n,x50,gini_val,pct_zero
2006,Murder,553,0.025758186623661694,0.9990901096259026,99.80065403395601
2007,Murder,458,0.06943511176813152,0.9978220712301156,99.6741029431528
2008,Murder,514,0.024638265466111187,0.9991743958657218,99.82081261479192
2009,Murder,456,0.024638265466111187,0.9992562839365582,99.84545088025803
2010,Murder,532,0.019038659678358643,0.9993216898582972,99.84097119562783
2011,Murder,496,0.019038659678358643,0.999373386049106,99.85441024951844
2012,Murder,415,0.02239842315101017,0.9993424308711799,99.86336961877885
2013,Murder,322,0.020158580835909153,0.9994284924080475,99.8913676477176
2014,Murder,335,0.017918738520808136,0.9994716312270123,99.89024772656006
2015,Murder,346,0.02127850199345966,0.9993542003775883,99.87232898803924
2016,Murder,332,0.02127850199345966,0.9993993579478511,99.88576804192985
2017,Murder,278,0.02239842315101017,0.9993531045342465,99.8846481207723
2018,Murder,300,0.02127850199345966,0.9994314533590168,99.8936074900327
2019,Murder,303,0.024638265466111187,0.9992822525096213,99.87120906688169
2020,Murder,455,0.08175424450118712,0.9976658627847984,99.66402365273484
2021,Murder,476,0.2396631277158088,0.9951825979686324,99.49379563678717
2022,Murder,430,0.22174438919500067,0.9955516210728532,99.53747256193164
2023,Murder,374,0.1859069121533844,0.9962604814439245,99.60466783138467
2024,Murder,354,0.16910809479012678,0.9965808237608547,99.63266586032343
2006,Rape,1536,0.02239842315101017,0.9994638960750496,99.91600591318371
2007,Rape,1306,0.02239842315101017,0.9994484259671059,99.91376607086862
2008,Rape,1312,0.02127850199345966,0.999465066927581,99.91376607086862
2009,Rape,1235,0.02239842315101017,0.9994625738671884,99.91600591318371
2010,Rape,1449,0.025758186623661694,0.9994096415612341,99.91488599202616
2011,Rape,1474,0.025758186623661694,0.9994085843765012,99.91376607086862
2012,Rape,1478,0.024638265466111187,0.9994204597441536,99.91376607086862
2013,Rape,1450,0.025758186623661694,0.9994123117180826,99.91376607086862
2014,Rape,1381,0.024638265466111187,0.9994243151118511,99.91488599202616
2015,Rape,1478,0.023518344308560677,0.9994326136923046,99.91376607086862
2016,Rape,1478,0.025758186623661694,0.9994087149688208,99.91376607086862
2017,Rape,1513,0.025758186623661694,0.9994034809903117,99.91376607086862
2018,Rape,1619,0.025758186623661694,0.999397476883347,99.91376607086862
2019,Rape,1638,0.025758186623661694,0.9994144685718399,99.91264614971107
2020,Rape,1312,0.025758186623661694,0.9993988447603532,99.91264614971107
2021,Rape,1322,0.026878107781212204,0.9993934296919597,99.91376607086862
2022,Rape,1426,0.026878107781212204,0.9993884256635289,99.91264614971107
2023,Rape,1322,0.023518344308560677,0.9994292129519408,99.91376607086862
2024,Rape,1534,0.024638265466111187,0.9994096540766503,99.91264614971107
2006,Robbery,22907,3.362003314966626,0.9056471538648233,85.5653362003315
2007,Robbery,21400,3.211933879854858,0.9095732535195877,86.26080723917036
2008,Robbery,22378,3.342964655288268,0.9060255469660302,85.70644626618285
2009,Robbery,18594,3.1951350624916004,0.9119384865048429,87.2037808538279
2010,Robbery,19598,3.214173722169959,0.9109024625268484,86.84988576804193
2011,Robbery,19782,3.3463244187609194,0.9084961618985109,86.62142185190163
2012,Robbery,20173,3.3205662321372573,0.9083502708292794,86.49599068225598
2013,Robbery,19127,3.264570174259732,0.910470172821933,86.95739819916678
2014,Robbery,16582,3.077543340948797,0.9160974411750707,88.14787438964296
2015,Robbery,16957,3.014827756125969,0.9171458980818092,88.12771580880707
2016,Robbery,15520,3.066344129373292,0.9166322464094404,88.52864758321014
2017,Robbery,13999,2.8557989517537967,0.9221862467717047,89.4346637996685
2018,Robbery,12965,2.6463736952918513,0.9272104639282681,90.14469381355552
2019,Robbery,13434,2.647493616449402,0.927287517410464,89.99910406307396
2020,Robbery,13187,2.5567800026878107,0.9289145021971601,90.1928504233302
2021,Robbery,13861,2.4750257581866237,0.9310889064596636,90.15925278860368
2022,Robbery,17439,2.8445997401782916,0.9208308095451843,88.30578327285758
2023,Robbery,16921,2.8725977691170543,0.9205800263413716,88.43345428481835
2024,Robbery,16567,2.779644313040362,0.9233116083635861,88.79070913407696
2006,Felony assault,17011,2.4604667831384672,0.9305568899236308,89.37082829368812
2007,Felony assault,17325,2.5455807911123056,0.9287945071697256,89.12892532365721
2008,Felony assault,16265,2.537741343009452,0.9301115277598813,89.5410563096358
2009,Felony assault,16762,2.603816691304932,0.9279853694601058,89.2061998835282
2010,Felony assault,17137,2.6374143260314473,0.9272103639538952,89.05389060610133
2011,Felony assault,18562,2.751646284101599,0.9230561541379888,88.3080231151727
2012,Felony assault,19563,2.8490794248084934,0.92016882494016,87.7827800922815
