borough,trajectory_group,label,n,pct
(null),0,Crime-free-stable,1650,20.86758568357152
(null),1,Moderate-stable,1237,15.644365751865436
(null),2,Low-increasing,1643,20.77905653218667
(null),3,Chronic-high-stable,225,2.8455798659415708
(null),4,High-stable,1059,13.393195902364994
(null),5,High-stable,733,9.270266852156317
(null),6,Moderate-stable,1360,17.199949411913494
BRONX,0,Crime-free-stable,2784,23.320489194169877
BRONX,1,Moderate-stable,1807,15.136538783715865
BRONX,2,Low-increasing,2587,21.670296532082425
BRONX,3,Chronic-high-stable,228,1.909867649522533
BRONX,4,High-stable,1468,12.296867146925782
BRONX,5,High-stable,961,8.049924610487519
BRONX,6,Moderate-stable,2103,17.616016083095996
BROOKLYN,0,Crime-free-stable,2798,14.63618768635246
BROOKLYN,1,Moderate-stable,3955,20.688392530208716
BROOKLYN,2,Low-increasing,4158,21.750274624679605
BROOKLYN,3,Chronic-high-stable,211,1.1037296646963435
BROOKLYN,4,High-stable,2379,12.44442119579432
BROOKLYN,5,High-stable,1044,5.461107914421719
BROOKLYN,6,Moderate-stable,4572,23.91588638384684
MANHATTAN,0,Crime-free-stable,970,19.505328775387092
MANHATTAN,1,Moderate-stable,785,15.785240297607078
MANHATTAN,2,Low-increasing,430,8.64669213754273
MANHATTAN,3,Chronic-high-stable,365,7.339634023728132
MANHATTAN,4,High-stable,965,19.4047858435552
MANHATTAN,5,High-stable,955,19.203699979891415
MANHATTAN,6,Moderate-stable,503,10.114618942288358
QUEENS,0,Crime-free-stable,6651,21.376229350131773
QUEENS,1,Moderate-stable,3260,10.477598508709905
QUEENS,2,Low-increasing,12149,39.046731374943754
QUEENS,3,Chronic-high-stable,86,0.2764029054444944
QUEENS,4,High-stable,1229,3.9499903580381823
QUEENS,5,High-stable,361,1.1602494054123547
QUEENS,6,Moderate-stable,7378,23.712798097319535
STATEN ISLAND,0,Crime-free-stable,5153,36.17917573544899
STATEN ISLAND,1,Moderate-stable,273,1.9167310257670434
STATEN ISLAND,2,Low-increasing,7579,53.21210419153268
STATEN ISLAND,3,Chronic-high-stable,10,0.07020992768377449
STATEN ISLAND,4,High-stable,89,0.6248683563855929
STATEN ISLAND,5,High-stable,34,0.23871375412483326
STATEN ISLAND,6,Moderate-stable,1105,7.75819700905708
