maj7_group,ct_group,n,crime_type
0,0,20006,Robbery
1,0,700,Robbery
1,1,142,Robbery
1,2,6727,Robbery
1,3,3748,Robbery
2,0,20215,Robbery
2,2,8319,Robbery
2,3,12,Robbery
3,1,342,Robbery
3,2,27,Robbery
3,3,156,Robbery
3,4,600,Robbery
4,0,65,Robbery
4,1,1284,Robbery
4,2,1752,Robbery
4,3,4085,Robbery
4,4,3,Robbery
5,0,10,Robbery
5,1,2174,Robbery
5,2,345,Robbery
5,3,1274,Robbery
5,4,285,Robbery
6,0,4351,Robbery
6,1,1,Robbery
6,2,11596,Robbery
6,3,1073,Robbery
0,0,20006,Felony assault
1,0,739,Felony assault
1,1,6606,Felony assault
1,2,100,Felony assault
1,3,3872,Felony assault
2,0,19097,Felony assault
2,1,9440,Felony assault
2,3,9,Felony assault
3,0,2,Felony assault
3,1,43,Felony assault
3,2,309,Felony assault
3,3,161,Felony assault
3,4,610,Felony assault
4,0,135,Felony assault
4,1,1899,Felony assault
4,2,1474,Felony assault
4,3,3677,Felony assault
4,4,4,Felony assault
5,0,23,Felony assault
5,1,515,Felony assault
5,2,1827,Felony assault
5,3,1147,Felony assault
5,4,576,Felony assault
6,0,3935,Felony assault
6,1,12277,Felony assault
6,3,809,Felony assault
0,0,20006,Burglary
1,0,583,Burglary
1,1,5152,Burglary
1,2,2671,Burglary
1,3,30,Burglary
1,4,2881,Burglary
2,0,14714,Burglary
2,1,12328,Burglary
2,2,1492,Burglary
2,4,12,Burglary
3,0,5,Burglary
3,1,86,Burglary
3,2,72,Burglary
3,3,666,Burglary
3,4,296,Burglary
4,0,127,Burglary
4,1,1815,Burglary
4,2,1220,Burglary
4,3,535,Burglary
4,4,3492,Burglary
5,0,28,Burglary
5,1,495,Burglary
5,2,393,Burglary
5,3,1393,Burglary
5,4,1779,Burglary
6,0,2454,Burglary
6,1,10925,Burglary
6,2,2935,Burglary
6,4,707,Burglary
0,0,20006,Grand larceny
1,0,8,Grand larceny
1,1,6433,Grand larceny
1,2,4729,Grand larceny
1,4,147,Grand larceny
2,0,7739,Grand larceny
2,2,20807,Grand larceny
3,1,33,Grand larceny
3,2,2,Grand larceny
3,3,724,Grand larceny
3,4,366,Grand larceny
4,1,4953,Grand larceny
4,2,488,Grand larceny
4,4,1748,Grand larceny
5,1,1101,Grand larceny
5,2,8,Grand larceny
5,3,499,Grand larceny
5,4,2480,Grand larceny
6,0,339,Grand larceny
6,1,1485,Grand larceny
6,2,15197,Grand larceny
0,0,20006,GLA
1,0,850,GLA
1,1,5363,GLA
1,2,629,GLA
1,3,2319,GLA
1,4,2156,GLA
2,0,15258,GLA
2,1,10232,GLA
2,3,1665,GLA
2,4,1391,GLA
3,0,61,GLA
3,1,244,GLA
3,2,535,GLA
3,3,168,GLA
3,4,117,GLA
4,0,436,GLA
4,1,2688,GLA
4,2,1179,GLA
4,3,1622,GLA
4,4,1264,GLA
5,0,197,GLA
5,1,1123,GLA
5,2,1344,GLA
5,3,814,GLA
5,4,610,GLA
6,0,2732,GLA
6,1,9098,GLA
6,2,96,GLA
6,3,2596,GLA
6,4,2499,GLA
0,0,20006,Robbery (outdoor)
1,0,1399,Robbery (outdoor)
1,1,6743,Robbery (outdoor)
1,2,1356,Robbery (outdoor)
1,3,13,Robbery (outdoor)
1,4,1806,Robbery (outdoor)
2,0,21488,Robbery (outdoor)
2,1,6408,Robbery (outdoor)
2,4,650,Robbery (outdoor)
3,0,6,Robbery (outdoor)
3,1,143,Robbery (outdoor)
3,2,371,Robbery (outdoor)
3,3,545,Robbery (outdoor)
3,4,60,Robbery (outdoor)
4,0,261,Robbery (outdoor)
4,1,3044,Robbery (outdoor)
4,2,2487,Robbery (outdoor)
4,3,199,Robbery (outdoor)
4,4,1198,Robbery (outdoor)
