crime_type,borough,n_blocks,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Residential burglary,Manhattan,8082,5718,0.7074981440237565,0.05926750804256372,0.15589536075069316,-0.09662785270812943,0.8322113083808071,0.5992413318479572,0.2329699765328499
Residential burglary,Queens,33339,7287,0.21857284261675516,0.042502774528330185,0.08704864243611124,-0.044545867907781055,0.8854709931917585,0.8216743887807582,0.06379660441100032
Residential burglary,Staten Island,14381,733,0.05097002990056324,0.016827758848480635,0.02420783414426528,-0.007380075295784647,0.9641808916247592,0.951521386148726,0.012659505476033228
Residential burglary,Bronx,12659,5841,0.4614108539379098,0.04763409432024646,0.138900948548854,-0.09126685422860753,0.8676284874340522,0.6901997127850318,0.1774287746490204
Residential burglary,Brooklyn,20795,7965,0.3830247655686463,0.05433998557345516,0.12669160320475992,-0.07235161763130477,0.8537851537601314,0.7270160089893267,0.1267691447708047
Theft from auto,Manhattan,8082,9079,1.1233605543182381,0.08426132145508537,0.21132462002474764,-0.12706329856966225,0.756185040661123,0.4989566244251149,0.2572284162360081
Theft from auto,Queens,33339,22495,0.6747352949998501,0.0939140346141156,0.1533411378025848,-0.059427103188469194,0.7528138113831162,0.6095934024351072,0.14322040894800903
Theft from auto,Staten Island,14381,3216,0.22362839858146166,0.05083095751338572,0.08857358450751669,-0.03774262699413097,0.8738304686843233,0.8183455118949562,0.05548495678936716
Theft from auto,Bronx,12659,22523,1.7792084682834348,0.10743344655975985,0.2454634463707137,-0.13802999981095387,0.6953937076099513,0.4071091368834632,0.28828457072648817
Theft from auto,Brooklyn,20795,18974,0.912430872805963,0.1101707141139697,0.18715344801755351,-0.07698273390358382,0.7013288251373356,0.5436132638349203,0.15771556130241537
Vehicle accessory theft,Manhattan,8082,3884,0.4805741153179906,0.04899777282850779,0.14128470160002954,-0.09228692877152175,0.8564930879698334,0.681868579995607,0.17462450797422635
Vehicle accessory theft,Queens,33339,10708,0.321185398482258,0.060439725246708056,0.11411852967188787,-0.05367880442517982,0.8393292602342025,0.7595497540897025,0.07977950614450002
Vehicle accessory theft,Staten Island,14381,1204,0.0837215770808706,0.02990056324316807,0.038451928990027855,-0.008551365746859784,0.9373049203671973,0.9228259809808239,0.014478939386373346
Vehicle accessory theft,Bronx,12659,13240,1.0458962003317798,0.08515680543486848,0.20339735913711934,-0.11824055370225087,0.7551039240080676,0.5141480669004661,0.24095585710760148
Vehicle accessory theft,Brooklyn,20795,6881,0.33089685020437604,0.06929550372685742,0.11627231931989918,-0.04697681559304176,0.8192138822455554,0.7542166839878159,0.06499719825773942
