crime_type,year,quarter,year_quarter,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,2022,1,2022-Q1,289,0.0032365721453209693,0.0015342919858441966,0.0016130540191961642,-7.876203335196769e-5,0.9969376550354523,0.9967738750641697,1.6377997128258492e-4
Shootings,2022,2,2022-Q2,347,0.0038861264167002643,0.0018702683331093491,0.0019355219909576017,-6.525365784825258e-5,0.9962674996556323,0.9961289267877407,1.385728678916509e-4
Shootings,2022,3,2022-Q3,407,0.0045580791112305695,0.0021950454687989967,0.0022686672782276265,-7.362180942862987e-5,0.9956175861632117,0.995462618309226,1.5496785398572133e-4
Shootings,2022,4,2022-Q4,251,0.002811002105451776,0.0013439053890606102,0.0014015538856719722,-5.7648496611362047e-5,0.997320175910612,0.9971968811539255,1.2329475668648726e-4
Shootings,2023,1,2023-Q1,222,0.0024862249697621287,0.0010863235228239932,0.0012400243873461451,-1.537008645221519e-4,0.9978130260350392,0.9975199435603126,2.9308247472659144e-4
Shootings,2023,2,2023-Q2,260,0.002911795009631322,0.0013999014469381356,0.001451662341366455,-5.176089442831926e-5,0.99719804341159,0.9970966630092439,1.0138040234608514e-4
Shootings,2023,3,2023-Q3,277,0.0031021816064149086,0.0014446982932401558,0.0015462840096480744,-1.0158571640791862e-4,0.9971137165517555,0.996907417099949,2.06299451806502e-4
Shootings,2023,4,2023-Q4,215,0.0024078304887335932,0.0011871164270035389,0.0012010187457611706,-1.3902318757631716e-5,0.9976365496427191,0.997597955545382,3.859409733708574e-5
Shootings,2024,1,2024-Q1,182,0.0020382565067419253,9.631321954934373e-4,0.0010170524191776991,-5.392022368426181e-5,0.9980706589025363,0.9979658909377409,1.0476796479541584e-4
Shootings,2024,2,2024-Q2,255,0.0028557989517537965,0.0013215069659096,0.0014238255610671058,-1.0231859515750586e-4,0.9973601921169848,0.9971523372657034,2.0785485128138603e-4
Shootings,2024,3,2024-Q3,256,0.0028669981633293014,0.0013215069659096,0.0014293931672507132,-1.0788620134111323e-4,0.9973482366841374,0.9971412019163175,2.070347678199136e-4
Shootings,2024,4,2024-Q4,211,0.002363033642431573,0.0011423195807015187,0.0011787270550878762,-3.640747438635747e-5,0.9977248615915449,0.9976425393078864,8.232228365856464e-5
