ky_cd,ofns_desc,pd_cd,pd_desc,n
101,MURDER & NON-NEGL. MANSLAUGHTER,NA,(null),7975
104,RAPE,153,RAPE 3,4544
104,RAPE,155,RAPE 2,2539
104,RAPE,157,RAPE 1,18068
104,RAPE,159,"RAPE 1,ATTEMPT",2878
105,(null),419,"LARCENY,GRAND FROM PERSON,UNCL",2
105,ROBBERY,360,"ROBBERY,ATM LOCATION",1145
105,ROBBERY,361,"ROBBERY,BANK",4215
105,ROBBERY,363,"ROBBERY,BAR/RESTAURANT",895
105,ROBBERY,365,"ROBBERY,LIQUOR STORE",264
105,ROBBERY,366,"ROBBERY,BICYCLE",4071
105,ROBBERY,367,"ROBBERY, CHAIN STORE",3940
105,ROBBERY,371,"ROBBERY,CHECK CASHING BUSINESS",337
105,ROBBERY,373,"ROBBERY,DOCTOR/DENTIST OFFICE",72
105,ROBBERY,375,"ROBBERY,PHARMACY",1194
105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",4531
105,ROBBERY,379,"ROBBERY,GAS STATION",1217
105,ROBBERY,380,"ROBBERY,CAR JACKING",4563
105,ROBBERY,381,"ROBBERY,HIJACKING",49
105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",10399
105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",4029
105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",14819
105,ROBBERY,385,"ROBBERY, PAYROLL",296
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",54478
105,ROBBERY,387,"ROBBERY,CLOTHING",1623
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",23878
105,ROBBERY,389,"ROBBERY,DWELLING",15239
105,ROBBERY,390,"ROBBERY,HOME INVASION",6573
105,ROBBERY,391,"ROBBERY,LICENSED MEDALLION CAB",2104
105,ROBBERY,392,"ROBBERY,UNLICENSED FOR HIRE VEHICLE",2181
105,ROBBERY,393,"ROBBERY,OF TRUCK DRIVER",252
105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",1768
105,ROBBERY,395,"ROBBERY,ON BUS/ OR BUS DRIVER",699
105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",13739
105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",127386
105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",10062
105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",15497
106,(null),101,ASSAULT 3,3
106,(null),186,LURING A CHILD,10
106,(null),321,"LARCENY,PETIT FROM AUTO",1
