crime_type,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Murder,8192,0.09174394122653765,4.5916767459570847e-4,0.04178929741164056,-0.04133012973704485,0.9883369234243409,0.9160686622564423,0.07226826116789853
Robbery,346591,3.881545939165883,0.056040854723827443,0.31461286424967827,-0.2585720095258508,0.8057028494118943,0.2816338266460854,0.5240690227658089
Robbery (outdoor),223405,2.5019598620257133,0.060576535411907,0.2789632551299163,-0.21838671971800933,0.8006220380634474,0.3473846050111049,0.45323743305234254
Felony assault,423237,4.739920709582045,0.047585449984321106,0.32843599001876567,-0.28085054003444454,0.817601224857212,0.2556533318770363,0.5619478929801757
Felony assault (outdoor),178137,1.9949939524257492,0.04817900819782287,0.26036486958594596,-0.2121858613881231,0.8321475838568078,0.3862009456602299,0.44594663819657787
Street assault,504862,5.654056354432648,0.05511132016306052,0.34087802641027004,-0.2857667062472095,0.8000806218211636,0.23460222074186265,0.5654784010793009
Burglary,323089,3.6183420687183623,0.08752183846257224,0.30731689750116153,-0.2197950590385893,0.7311443723804567,0.2913297012372331,0.4398146711432236
Residential burglary,208114,2.330712717824665,0.07406038614881512,0.2752242864857495,-0.20116390033693438,0.7696665694448922,0.35917307519659136,0.41049349424830084
Commercial burglary,84192,0.9428840209649241,0.03274649464677687,0.19114809470303273,-0.15840160005625586,0.8909621860302525,0.536484370912311,0.3544778151179414
Grand larceny,880025,9.855586166733861,0.050385252878197374,0.3775057658947695,-0.3271205130165721,0.7779455055941062,0.1785639143803247,0.5993815912137815
GLA,201642,2.2582314205079963,0.10687407606504502,0.2728683368211703,-0.16599426075612528,0.6962907712289903,0.3645332464927774,0.3317575247362129
Retail theft,675073,7.560285355910944,0.002105451776194956,0.3612839399023594,-0.35917848812616443,0.9849877195549487,0.20347163981540672,0.781516079739542
Vehicle accessory theft,108637,1.2166487479281458,0.0742171751108722,0.21941800909288292,-0.14520083398201072,0.7760415268723899,0.4822351345160223,0.29380639235636763
Theft from auto,450185,5.041717063118757,0.1037270976123281,0.3352312257658169,-0.23150412815348878,0.6819364590331473,0.2480903871326544,0.43384607190049285
Pickpocket (transit),6251,0.07000627155848228,5.711597903507594e-4,0.03260889185884406,-0.0320377320684933,0.9979921592691207,0.9346221395761202,0.06337001969300049
Pickpocket (non-transit),40519,0.4537808538278905,0.005532410518299512,0.13788764863911052,-0.13235523812081101,0.962736498401723,0.6935863433892733,0.26915015501244977
Shootings,23988,0.26864668727321594,0.022264032612104107,0.10126337147831237,-0.07899933886620826,0.9297417163015649,0.7899770903669242,0.13976462593464067
Gun violence,26519,0.29699189177081936,0.02385432065582583,0.10845401695708179,-0.08459969630125597,0.9262708670949296,0.7732223554353772,0.15304851165955236
