crime_type,month,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,2022-01-01,99,0.0011087219459750034,5.487613671997492e-4,5.537465678998713e-4,-4.985200700122097e-6,0.9989134502304775,0.9988925061836248,2.0944046852711118e-5
Shootings,2022-02-01,75,8.399408681628814e-4,4.1437082829368815e-4,4.1961778249284e-4,-5.246954199151859e-6,0.9991821589093461,0.9991607641390152,2.1394770330918078e-5
Shootings,2022-03-01,115,0.0012879093311830847,6.383550598037898e-4,6.431256662990359e-4,-4.7706064952461385e-6,0.9987342943230709,0.998713747600871,2.0546722199976664e-5
Shootings,2022-04-01,105,0.0011759172154280338,5.823590019262644e-4,5.872674879916509e-4,-4.908486065386482e-6,0.9988462678894072,0.9988254642121129,2.080367729428989e-5
Shootings,2022-05-01,117,0.001310307754334095,6.607534829548e-4,6.542957987846859e-4,6.457684170114086e-6,0.998689692245666,0.9986914072793107,-1.7150336447668835e-6
Shootings,2022-06-01,125,0.0013999014469381356,7.055503292568204e-4,6.989713185152794e-4,6.57901074154095e-6,0.9986000985530619,0.9986020559934974,-1.957440435518265e-6
Shootings,2022-07-01,175,0.00195986202571339,9.743314070689423e-4,9.780117373199445e-4,-3.6803302510021556e-6,0.9980624084064482,0.9980439727699819,1.8435636466307415e-5
Shootings,2022-08-01,115,0.0012879093311830847,6.271558482282847e-4,6.431256662990359e-4,-1.5969818070751232e-5,0.9987561084395311,0.998713747600871,4.236083866016038e-5
Shootings,2022-09-01,117,0.001310307754334095,6.607534829548e-4,6.542957987846859e-4,6.457684170114086e-6,0.998689692245666,0.9986914072793107,-1.7150336447668835e-6
Shootings,2022-10-01,86,9.631321954934373e-4,4.5916767459570847e-4,4.811024348019039e-4,-2.193476020619545e-5,0.9990806228636853,0.9990377946841856,4.2828179499632135e-5
Shootings,2022-11-01,80,8.959369260404067e-4,4.479684630202034e-4,4.475672313675124e-4,4.012316526909787e-7,0.9991040630739596,0.9991048651780551,-8.021040954764302e-7
Shootings,2022-12-01,85,9.519329839179322e-4,4.7036688617121356e-4,4.7551354749169065e-4,-5.1466613204770935e-6,0.9990702019283725,0.9990489724741857,2.122945418681077e-5
Shootings,2023-01-01,74,8.287416565873763e-4,4.1437082829368815e-4,4.140275167724089e-4,3.433115212792383e-7,0.9991712583434126,0.9991719446821349,-6.863387222999506e-7
Shootings,2023-02-01,63,7.055503292568204e-4,3.583747704161627e-4,3.525263225218372e-4,5.848447894325499e-6,0.9992944496707432,0.999294947179489,-4.975087457559368e-7
