precinct,traj_label,n,total_blocks,pct_of_precinct,rank,is_target
14,Chronic-high,88,241,36.51452282157676,1,TRUE
18,Chronic-high,61,359,16.991643454038996,2,FALSE
13,Chronic-high,55,339,16.224188790560472,3,FALSE
9,Chronic-high,33,280,11.785714285714285,4,FALSE
28,Chronic-high,18,197,9.137055837563452,5,FALSE
10,Chronic-high,29,342,8.47953216374269,6,FALSE
23,Chronic-high,18,252,7.142857142857142,7,FALSE
7,Chronic-high,20,289,6.920415224913495,8,FALSE
32,Chronic-high,18,262,6.870229007633588,9,FALSE
30,Chronic-high,13,216,6.018518518518518,10,FALSE
20,Chronic-high,18,305,5.901639344262295,11,FALSE
6,Chronic-high,26,442,5.88235294117647,12,FALSE
52,Chronic-high,37,658,5.623100303951368,13,FALSE
26,Chronic-high,13,238,5.46218487394958,14,FALSE
44,Chronic-high,40,757,5.284015852047556,15,FALSE
46,Chronic-high,31,592,5.236486486486487,16,FALSE
24,Chronic-high,13,275,4.7272727272727275,17,FALSE
77,Chronic-high,20,424,4.716981132075472,18,FALSE
79,Chronic-high,19,473,4.0169133192389,19,FALSE
42,Chronic-high,21,599,3.5058430717863103,20,FALSE
5,Chronic-high,14,417,3.357314148681055,21,FALSE
25,Chronic-high,19,580,3.2758620689655173,22,FALSE
17,Chronic-high,11,340,3.2352941176470593,23,FALSE
40,Chronic-high,30,928,3.2327586206896552,24,FALSE
73,Chronic-high,23,714,3.221288515406162,25,FALSE
81,Chronic-high,12,422,2.843601895734597,26,FALSE
84,Chronic-high,17,613,2.7732463295269167,27,FALSE
34,Chronic-high,13,497,2.61569416498994,28,TRUE
43,Chronic-high,31,1368,2.2660818713450293,29,FALSE
41,Chronic-high,14,627,2.2328548644338118,30,FALSE
19,Chronic-high,14,628,2.229299363057325,31,FALSE
1,Chronic-high,19,873,2.176403207331042,32,FALSE
71,Chronic-high,10,462,2.1645021645021645,33,FALSE
67,Chronic-high,23,1129,2.0372010628875112,34,FALSE
60,Chronic-high,17,867,1.9607843137254901,35,FALSE
70,Chronic-high,17,938,1.812366737739872,36,FALSE
33,Chronic-high,7,401,1.7456359102244388,37,FALSE
22,Chronic-high,3,187,1.6042780748663104,38,FALSE
48,Chronic-high,11,691,1.5918958031837915,39,FALSE
78,Chronic-high,9,571,1.5761821366024518,40,FALSE
88,Chronic-high,9,573,1.5706806282722512,41,FALSE
75,Chronic-high,18,1880,0.9574468085106382,42,TRUE
50,Chronic-high,10,1057,0.9460737937559129,43,FALSE
101,Chronic-high,9,974,0.9240246406570842,44,FALSE
110,Chronic-high,12,1401,0.8565310492505354,45,FALSE
90,Chronic-high,9,1135,0.7929515418502203,46,FALSE
103,Chronic-high,12,1558,0.7702182284980745,47,FALSE
114,Chronic-high,15,1950,0.7692307692307693,48,FALSE
115,Chronic-high,9,1215,0.7407407407407408,49,FALSE
83,Chronic-high,5,713,0.7012622720897616,50,FALSE
47,Chronic-high,10,1670,0.5988023952095809,51,TRUE
49,Chronic-high,8,1357,0.5895357406042742,52,FALSE
69,Chronic-high,5,869,0.5753739930955121,53,FALSE
72,Chronic-high,5,899,0.5561735261401557,54,FALSE
45,Chronic-high,10,2179,0.4589261128958238,55,FALSE
63,Chronic-high,5,1368,0.36549707602339176,56,FALSE
66,Chronic-high,4,1139,0.35118525021949076,57,FALSE
112,Chronic-high,4,1159,0.3451251078515962,58,FALSE
100,Chronic-high,4,1189,0.33641715727502103,59,FALSE
76,Chronic-high,2,624,0.3205128205128205,60,FALSE
109,Chronic-high,11,3742,0.2939604489577766,61,FALSE
62,Chronic-high,3,1195,0.2510460251046025,62,FALSE
107,Chronic-high,5,2142,0.2334267040149393,63,FALSE
61,Chronic-high,4,1736,0.2304147465437788,64,FALSE
94,Chronic-high,2,900,0.2222222222222222,65,FALSE
104,Chronic-high,5,2419,0.20669698222405952,66,FALSE
106,Chronic-high,4,2094,0.19102196752626552,67,FALSE
120,Chronic-high,5,2976,0.16801075268817203,68,TRUE
68,Chronic-high,2,1225,0.163265306122449,69,FALSE
121,Chronic-high,4,3276,0.1221001221001221,70,FALSE
102,Chronic-high,2,1647,0.12143290831815423,71,FALSE
105,Chronic-high,2,2536,0.07886435331230283,72,FALSE
108,Chronic-high,1,1763,0.05672149744753262,73,FALSE
116,Chronic-high,1,2088,0.047892720306513405,74,FALSE
113,Chronic-high,1,2558,0.039093041438623924,75,FALSE
111,Chronic-high,1,3108,0.032175032175032175,76,TRUE
123,Chronic-high,1,3551,0.028161081385525203,77,FALSE
122,Chronic-high,1,4576,0.021853146853146852,78,FALSE
