precinct,traj_label,n,total_blocks,pct_of_precinct
1,Crime-free,216,873,24.742268041237114
1,Low-increasing,182,873,20.847651775486828
1,Low-moderate,140,873,16.036655211912944
1,Moderate,133,873,15.234822451317298
1,High,111,873,12.714776632302405
1,Very high,72,873,8.24742268041237
1,Chronic-high,19,873,2.176403207331042
5,Crime-free,104,417,24.940047961630697
5,Low-increasing,55,417,13.189448441247004
5,Low-moderate,53,417,12.709832134292565
5,Moderate,70,417,16.786570743405278
5,High,83,417,19.904076738609113
5,Very high,38,417,9.112709832134293
5,Chronic-high,14,417,3.357314148681055
6,Crime-free,18,442,4.072398190045249
6,Low-increasing,51,442,11.538461538461538
6,Low-moderate,61,442,13.800904977375566
6,Moderate,106,442,23.981900452488688
6,High,104,442,23.52941176470588
6,Very high,76,442,17.194570135746606
6,Chronic-high,26,442,5.88235294117647
7,Crime-free,66,289,22.837370242214533
7,Low-increasing,35,289,12.110726643598616
7,Low-moderate,31,289,10.726643598615917
7,Moderate,39,289,13.494809688581316
7,High,45,289,15.570934256055363
7,Very high,53,289,18.33910034602076
7,Chronic-high,20,289,6.920415224913495
9,Crime-free,23,280,8.214285714285714
9,Low-increasing,17,280,6.071428571428571
9,Low-moderate,19,280,6.785714285714286
9,Moderate,21,280,7.5
9,High,67,280,23.92857142857143
9,Very high,100,280,35.714285714285715
9,Chronic-high,33,280,11.785714285714285
10,Crime-free,98,342,28.654970760233915
10,Low-increasing,42,342,12.280701754385964
10,Low-moderate,31,342,9.064327485380117
10,Moderate,44,342,12.865497076023392
10,High,35,342,10.23391812865497
10,Very high,63,342,18.421052631578945
10,Chronic-high,29,342,8.47953216374269
13,Crime-free,39,339,11.504424778761061
13,Low-increasing,17,339,5.014749262536873
13,Low-moderate,21,339,6.1946902654867255
13,Moderate,31,339,9.144542772861357
13,High,76,339,22.418879056047196
13,Very high,100,339,29.49852507374631
13,Chronic-high,55,339,16.224188790560472
14,Crime-free,16,241,6.639004149377594
14,Low-increasing,6,241,2.4896265560165975
14,Low-moderate,9,241,3.7344398340248963
14,Moderate,8,241,3.319502074688797
14,High,42,241,17.42738589211618
14,Very high,72,241,29.87551867219917
14,Chronic-high,88,241,36.51452282157676
17,Crime-free,73,340,21.470588235294116
17,Low-increasing,28,340,8.235294117647058
17,Low-moderate,22,340,6.470588235294119
17,Moderate,45,340,13.23529411764706
17,High,75,340,22.058823529411764
17,Very high,86,340,25.294117647058822
17,Chronic-high,11,340,3.2352941176470593
18,Crime-free,25,359,6.963788300835655
18,Low-increasing,17,359,4.735376044568245
18,Low-moderate,25,359,6.963788300835655
18,Moderate,39,359,10.86350974930362
18,High,83,359,23.119777158774372
18,Very high,109,359,30.362116991643457
18,Chronic-high,61,359,16.991643454038996
19,Crime-free,39,628,6.210191082802548
19,Low-increasing,27,628,4.2993630573248405
19,Low-moderate,64,628,10.191082802547772
19,Moderate,172,628,27.388535031847134
19,High,180,628,28.662420382165603
19,Very high,132,628,21.019108280254777
19,Chronic-high,14,628,2.229299363057325
20,Crime-free,32,305,10.491803278688524
20,Low-increasing,26,305,8.524590163934425
20,Low-moderate,37,305,12.131147540983607
20,Moderate,71,305,23.278688524590162
20,High,59,305,19.34426229508197
20,Very high,62,305,20.327868852459016
20,Chronic-high,18,305,5.901639344262295
22,Crime-free,116,187,62.03208556149733
22,Low-increasing,13,187,6.951871657754011
22,Low-moderate,18,187,9.62566844919786
22,Moderate,18,187,9.62566844919786
22,High,13,187,6.951871657754011
22,Very high,6,187,3.2085561497326207
22,Chronic-high,3,187,1.6042780748663104
23,Crime-free,29,252,11.507936507936508
23,Low-increasing,10,252,3.968253968253968
23,Low-moderate,25,252,9.920634920634921
23,Moderate,44,252,17.46031746031746
23,High,61,252,24.206349206349206
23,Very high,65,252,25.793650793650798
23,Chronic-high,18,252,7.142857142857142
24,Crime-free,14,275,5.090909090909091
24,Low-increasing,6,275,2.181818181818182
24,Low-moderate,29,275,10.545454545454545
24,Moderate,65,275,23.636363636363637
24,High,91,275,33.09090909090909
24,Very high,57,275,20.727272727272727
24,Chronic-high,13,275,4.7272727272727275
25,Crime-free,341,580,58.793103448275865
25,Low-increasing,35,580,6.0344827586206895
25,Low-moderate,19,580,3.2758620689655173
25,Moderate,52,580,8.96551724137931
25,High,64,580,11.03448275862069
25,Very high,50,580,8.620689655172415
25,Chronic-high,19,580,3.2758620689655173
26,Crime-free,43,238,18.067226890756302
26,Low-increasing,30,238,12.605042016806722
26,Low-moderate,29,238,12.184873949579831
26,Moderate,43,238,18.067226890756302
